,dt,AverageTemperature,AverageTemperatureUncertainty,Country,year,month
110703,1866-10-01,6.8020000000000005,1.151,China,1866,10
110704,1866-11-01,-0.299,1.265,China,1866,11
110705,1866-12-01,-5.252999999999999,1.3090000000000002,China,1866,12
110706,1867-01-01,-8.443999999999999,1.254,China,1867,01
110707,1867-02-01,-5.8980000000000015,1.224,China,1867,02
110708,1867-03-01,1.2919999999999998,1.23,China,1867,03
110709,1867-04-01,8.445,1.476,China,1867,04
110710,1867-05-01,12.908,1.056,China,1867,05
110711,1867-06-01,17.372,1.103,China,1867,06
110712,1867-07-01,20.031,1.381,China,1867,07
110713,1867-08-01,18.281,1.304,China,1867,08
110714,1867-09-01,13.720999999999998,1.111,China,1867,09
110715,1867-10-01,7.351,1.127,China,1867,10
110716,1867-11-01,1.099,1.457,China,1867,11
110717,1867-12-01,-5.048,1.452,China,1867,12
110718,1868-01-01,-8.197999999999999,1.368,China,1868,01
110719,1868-02-01,-5.6800000000000015,1.415,China,1868,02
110720,1868-03-01,0.01,1.252,China,1868,03
110721,1868-04-01,8.35,1.102,China,1868,04
110722,1868-05-01,13.109000000000002,1.078,China,1868,05
110723,1868-06-01,17.187,1.06,China,1868,06
110724,1868-07-01,20.124,0.965,China,1868,07
110725,1868-08-01,18.423,1.019,China,1868,08
110726,1868-09-01,13.857,1.071,China,1868,09
110727,1868-10-01,7.665999999999999,1.022,China,1868,10
110728,1868-11-01,-1.117,1.1,China,1868,11
110729,1868-12-01,-6.744999999999999,1.341,China,1868,12
110730,1869-01-01,-8.37,1.264,China,1869,01
110731,1869-02-01,-3.973,1.321,China,1869,02
110732,1869-03-01,0.351,1.515,China,1869,03
110733,1869-04-01,7.372000000000001,1.132,China,1869,04
110734,1869-05-01,13.687,1.177,China,1869,05
110735,1869-06-01,17.291999999999998,1.039,China,1869,06
110736,1869-07-01,19.913,1.074,China,1869,07
110737,1869-08-01,18.552,1.129,China,1869,08
110738,1869-09-01,14.436,1.048,China,1869,09
110739,1869-10-01,7.542999999999998,1.162,China,1869,10
110740,1869-11-01,-0.901,1.263,China,1869,11
110741,1869-12-01,-8.312000000000001,1.189,China,1869,12
110742,1870-01-01,-9.641,1.063,China,1870,01
110743,1870-02-01,-6.546,1.24,China,1870,02
110744,1870-03-01,0.5840000000000002,1.204,China,1870,03
110745,1870-04-01,7.965000000000002,1.317,China,1870,04
110746,1870-05-01,13.918,0.999,China,1870,05
110747,1870-06-01,17.634999999999994,0.976,China,1870,06
110748,1870-07-01,20.095,0.875,China,1870,07
110749,1870-08-01,18.414,0.848,China,1870,08
110750,1870-09-01,14.401,1.09,China,1870,09
110751,1870-10-01,7.148,1.2819999999999998,China,1870,10
110752,1870-11-01,-1.579,1.306,China,1870,11
110753,1870-12-01,-8.486,0.916,China,1870,12
110754,1871-01-01,-9.293,1.172,China,1871,01
110755,1871-02-01,-5.987,1.4680000000000002,China,1871,02
110756,1871-03-01,1.072,1.285,China,1871,03
110757,1871-04-01,7.984,0.84,China,1871,04
110758,1871-05-01,13.136,1.144,China,1871,05
110759,1871-06-01,17.713,0.982,China,1871,06
110760,1871-07-01,20.027,0.882,China,1871,07
110761,1871-08-01,18.952,0.8759999999999999,China,1871,08
110762,1871-09-01,14.271,1.042,China,1871,09
110763,1871-10-01,7.6309999999999985,0.925,China,1871,10
110764,1871-11-01,-1.247,0.914,China,1871,11
110765,1871-12-01,-7.8,1.0759999999999998,China,1871,12
110766,1872-01-01,-10.036,2.014,China,1872,01
110767,1872-02-01,-6.835000000000001,1.196,China,1872,02
110768,1872-03-01,0.794,0.967,China,1872,03
110769,1872-04-01,7.372999999999999,1.168,China,1872,04
110770,1872-05-01,13.543,1.023,China,1872,05
110771,1872-06-01,17.517,1.079,China,1872,06
110772,1872-07-01,19.949,1.001,China,1872,07
110773,1872-08-01,18.516,1.067,China,1872,08
110774,1872-09-01,14.162,0.768,China,1872,09
110775,1872-10-01,7.071000000000001,0.768,China,1872,10
110776,1872-11-01,-0.615,1.034,China,1872,11
110777,1872-12-01,-6.002999999999999,1.7990000000000002,China,1872,12
110778,1873-01-01,-9.928,1.196,China,1873,01
110779,1873-02-01,-4.767,1.41,China,1873,02
110780,1873-03-01,0.4280000000000001,0.928,China,1873,03
110781,1873-04-01,8.079,1.094,China,1873,04
110782,1873-05-01,13.334,0.8690000000000001,China,1873,05
110783,1873-06-01,17.625,0.949,China,1873,06
110784,1873-07-01,20.077,0.914,China,1873,07
110785,1873-08-01,18.263,0.821,China,1873,08
110786,1873-09-01,14.162,1.006,China,1873,09
110787,1873-10-01,7.340999999999998,0.895,China,1873,10
110788,1873-11-01,0.166,1.086,China,1873,11
110789,1873-12-01,-5.722,1.0,China,1873,12
110790,1874-01-01,-9.145,1.257,China,1874,01
110791,1874-02-01,-5.0790000000000015,1.035,China,1874,02
110792,1874-03-01,0.0970000000000002,1.336,China,1874,03
110793,1874-04-01,8.787,0.877,China,1874,04
110794,1874-05-01,13.295,1.232,China,1874,05
110795,1874-06-01,18.275,1.216,China,1874,06
110796,1874-07-01,19.711,1.232,China,1874,07
110797,1874-08-01,18.838,0.8390000000000001,China,1874,08
110798,1874-09-01,14.78,0.892,China,1874,09
110799,1874-10-01,7.473999999999998,1.288,China,1874,10
110800,1874-11-01,-0.5870000000000001,1.01,China,1874,11
110801,1874-12-01,-6.704,0.992,China,1874,12
110802,1875-01-01,-9.015,1.162,China,1875,01
110803,1875-02-01,-5.186000000000001,1.5219999999999998,China,1875,02
110804,1875-03-01,1.99,1.157,China,1875,03
110805,1875-04-01,7.669,0.6990000000000001,China,1875,04
110806,1875-05-01,13.585,0.735,China,1875,05
110807,1875-06-01,18.167,1.025,China,1875,06
110808,1875-07-01,19.962,0.862,China,1875,07
110809,1875-08-01,18.688,0.815,China,1875,08
110810,1875-09-01,13.831,0.6559999999999999,China,1875,09
110811,1875-10-01,6.766,0.733,China,1875,10
110812,1875-11-01,-1.415,1.088,China,1875,11
110813,1875-12-01,-6.981999999999998,0.895,China,1875,12
110814,1876-01-01,-9.259,1.17,China,1876,01
110815,1876-02-01,-5.356000000000001,0.938,China,1876,02
110816,1876-03-01,0.4500000000000001,1.5,China,1876,03
110817,1876-04-01,8.361,1.182,China,1876,04
110818,1876-05-01,13.31,1.216,China,1876,05
110819,1876-06-01,17.846,0.742,China,1876,06
110820,1876-07-01,19.923,0.7240000000000001,China,1876,07
110821,1876-08-01,18.849,0.677,China,1876,08
110822,1876-09-01,13.651,0.8140000000000001,China,1876,09
110823,1876-10-01,7.244,0.851,China,1876,10
110824,1876-11-01,-1.359,0.904,China,1876,11
110825,1876-12-01,-7.491,1.461,China,1876,12
110826,1877-01-01,-9.153,1.078,China,1877,01
110827,1877-02-01,-6.997000000000001,1.141,China,1877,02
110828,1877-03-01,1.12,0.957,China,1877,03
110829,1877-04-01,7.468999999999999,0.85,China,1877,04
110830,1877-05-01,12.68,0.888,China,1877,05
110831,1877-06-01,17.904,1.235,China,1877,06
110832,1877-07-01,19.994,0.662,China,1877,07
110833,1877-08-01,18.854,0.941,China,1877,08
110834,1877-09-01,14.362,0.738,China,1877,09
110835,1877-10-01,6.678999999999999,0.978,China,1877,10
110836,1877-11-01,-0.575,1.311,China,1877,11
110837,1877-12-01,-8.158,1.588,China,1877,12
110838,1878-01-01,-10.553,1.5019999999999998,China,1878,01
110839,1878-02-01,-5.836,1.126,China,1878,02
110840,1878-03-01,2.204,0.8270000000000001,China,1878,03
110841,1878-04-01,8.318,1.091,China,1878,04
110842,1878-05-01,12.759,1.057,China,1878,05
110843,1878-06-01,17.647000000000002,1.171,China,1878,06
110844,1878-07-01,20.269,0.888,China,1878,07
110845,1878-08-01,18.724,0.941,China,1878,08
110846,1878-09-01,14.572,0.8390000000000001,China,1878,09
110847,1878-10-01,7.13,1.082,China,1878,10
110848,1878-11-01,-0.52,0.913,China,1878,11
110849,1878-12-01,-7.741,0.82,China,1878,12
110850,1879-01-01,-8.815,0.782,China,1879,01
110851,1879-02-01,-5.0470000000000015,0.945,China,1879,02
110852,1879-03-01,0.5930000000000001,0.738,China,1879,03
110853,1879-04-01,7.617000000000001,0.992,China,1879,04
110854,1879-05-01,13.431,0.91,China,1879,05
110855,1879-06-01,18.084,0.8320000000000001,China,1879,06
110856,1879-07-01,19.905,0.875,China,1879,07
110857,1879-08-01,18.66,0.701,China,1879,08
110858,1879-09-01,14.482,0.753,China,1879,09
110859,1879-10-01,7.345,1.018,China,1879,10
110860,1879-11-01,-0.0819999999999999,0.693,China,1879,11
110861,1879-12-01,-6.164,0.767,China,1879,12
110862,1880-01-01,-9.346,0.897,China,1880,01
110863,1880-02-01,-6.167000000000002,1.015,China,1880,02
110864,1880-03-01,1.964,0.672,China,1880,03
110865,1880-04-01,7.782999999999999,0.703,China,1880,04
110866,1880-05-01,13.55,0.7959999999999999,China,1880,05
110867,1880-06-01,17.505,0.8009999999999999,China,1880,06
110868,1880-07-01,18.916,1.155,China,1880,07
110869,1880-08-01,18.745,0.943,China,1880,08
110870,1880-09-01,14.028,0.826,China,1880,09
110871,1880-10-01,7.294,0.962,China,1880,10
110872,1880-11-01,-0.296,0.955,China,1880,11
110873,1880-12-01,-7.374,0.735,China,1880,12
110874,1881-01-01,-8.158999999999999,1.062,China,1881,01
110875,1881-02-01,-5.886,0.954,China,1881,02
110876,1881-03-01,-0.0559999999999998,0.925,China,1881,03
110877,1881-04-01,8.009,0.799,China,1881,04
110878,1881-05-01,13.217,0.79,China,1881,05
110879,1881-06-01,17.064,0.871,China,1881,06
110880,1881-07-01,20.261,0.737,China,1881,07
110881,1881-08-01,18.616,0.7020000000000001,China,1881,08
110882,1881-09-01,14.319,0.7140000000000001,China,1881,09
110883,1881-10-01,7.353999999999999,0.6970000000000001,China,1881,10
110884,1881-11-01,-0.622,0.902,China,1881,11
110885,1881-12-01,-7.882999999999999,1.092,China,1881,12
110886,1882-01-01,-7.175999999999998,1.119,China,1882,01
110887,1882-02-01,-5.8180000000000005,1.002,China,1882,02
110888,1882-03-01,1.0610000000000002,0.784,China,1882,03
110889,1882-04-01,8.388,0.669,China,1882,04
110890,1882-05-01,13.159,0.815,China,1882,05
110891,1882-06-01,17.641,0.735,China,1882,06
110892,1882-07-01,19.758,0.647,China,1882,07
110893,1882-08-01,18.358,0.764,China,1882,08
110894,1882-09-01,14.123,0.606,China,1882,09
110895,1882-10-01,7.051,0.711,China,1882,10
110896,1882-11-01,-1.48,0.938,China,1882,11
110897,1882-12-01,-8.286,1.018,China,1882,12
110898,1883-01-01,-9.172,0.654,China,1883,01
110899,1883-02-01,-7.149000000000001,0.971,China,1883,02
110900,1883-03-01,0.523,1.001,China,1883,03
110901,1883-04-01,7.1110000000000015,0.618,China,1883,04
110902,1883-05-01,12.677,0.812,China,1883,05
110903,1883-06-01,18.091,0.821,China,1883,06
110904,1883-07-01,19.658,0.846,China,1883,07
110905,1883-08-01,18.454,0.69,China,1883,08
110906,1883-09-01,13.165,0.7120000000000001,China,1883,09
110907,1883-10-01,7.540999999999999,0.627,China,1883,10
110908,1883-11-01,-1.904,0.79,China,1883,11
110909,1883-12-01,-6.672000000000001,0.813,China,1883,12
110910,1884-01-01,-7.870999999999999,0.732,China,1884,01
110911,1884-02-01,-6.472,0.858,China,1884,02
110912,1884-03-01,-0.3509999999999997,0.916,China,1884,03
110913,1884-04-01,7.057,0.735,China,1884,04
110914,1884-05-01,12.702,0.7659999999999999,China,1884,05
110915,1884-06-01,17.049,0.8029999999999999,China,1884,06
110916,1884-07-01,19.502,0.675,China,1884,07
110917,1884-08-01,17.632,0.674,China,1884,08
110918,1884-09-01,14.342,0.923,China,1884,09
110919,1884-10-01,6.329,0.851,China,1884,10
110920,1884-11-01,-2.227,0.901,China,1884,11
110921,1884-12-01,-8.033999999999999,1.08,China,1884,12
110922,1885-01-01,-9.413,0.784,China,1885,01
110923,1885-02-01,-8.138,1.164,China,1885,02
110924,1885-03-01,0.5329999999999999,1.007,China,1885,03
110925,1885-04-01,6.997000000000001,1.021,China,1885,04
110926,1885-05-01,12.887,1.0,China,1885,05
110927,1885-06-01,17.518,0.978,China,1885,06
110928,1885-07-01,19.147,0.8140000000000001,China,1885,07
110929,1885-08-01,18.688,0.885,China,1885,08
110930,1885-09-01,13.526,0.8420000000000001,China,1885,09
110931,1885-10-01,7.215,0.828,China,1885,10
110932,1885-11-01,-1.4380000000000002,0.981,China,1885,11
110933,1885-12-01,-5.948,1.096,China,1885,12
110934,1886-01-01,-8.854999999999997,0.961,China,1886,01
110935,1886-02-01,-7.8980000000000015,1.182,China,1886,02
110936,1886-03-01,0.7120000000000001,0.928,China,1886,03
110937,1886-04-01,7.722,0.7120000000000001,China,1886,04
110938,1886-05-01,13.197,0.73,China,1886,05
110939,1886-06-01,17.469,0.789,China,1886,06
110940,1886-07-01,19.539,0.6970000000000001,China,1886,07
110941,1886-08-01,18.506,0.682,China,1886,08
110942,1886-09-01,13.815,0.7440000000000001,China,1886,09
110943,1886-10-01,7.138999999999999,0.763,China,1886,10
110944,1886-11-01,-1.423,0.83,China,1886,11
110945,1886-12-01,-6.545999999999999,1.108,China,1886,12
110946,1887-01-01,-11.114999999999998,0.911,China,1887,01
110947,1887-02-01,-6.297999999999999,0.962,China,1887,02
110948,1887-03-01,0.3920000000000001,0.944,China,1887,03
110949,1887-04-01,8.191,0.901,China,1887,04
110950,1887-05-01,13.09,0.753,China,1887,05
110951,1887-06-01,16.409000000000002,0.6709999999999999,China,1887,06
110952,1887-07-01,20.295,0.831,China,1887,07
110953,1887-08-01,18.282,0.8270000000000001,China,1887,08
110954,1887-09-01,13.972,0.649,China,1887,09
110955,1887-10-01,7.592,0.6970000000000001,China,1887,10
110956,1887-11-01,0.258,0.764,China,1887,11
110957,1887-12-01,-6.702000000000001,0.7120000000000001,China,1887,12
110958,1888-01-01,-8.571,1.146,China,1888,01
110959,1888-02-01,-7.348000000000001,0.831,China,1888,02
110960,1888-03-01,1.4409999999999998,0.7609999999999999,China,1888,03
110961,1888-04-01,7.247999999999999,0.899,China,1888,04
110962,1888-05-01,13.065,0.797,China,1888,05
110963,1888-06-01,17.044,0.894,China,1888,06
110964,1888-07-01,19.909,0.7709999999999999,China,1888,07
110965,1888-08-01,18.973,0.682,China,1888,08
110966,1888-09-01,13.779000000000002,0.6729999999999999,China,1888,09
110967,1888-10-01,7.002000000000001,0.853,China,1888,10
110968,1888-11-01,-0.504,0.769,China,1888,11
110969,1888-12-01,-6.001,0.865,China,1888,12
110970,1889-01-01,-10.173,1.103,China,1889,01
110971,1889-02-01,-5.747999999999999,1.065,China,1889,02
110972,1889-03-01,1.5530000000000002,0.7440000000000001,China,1889,03
110973,1889-04-01,7.875,0.757,China,1889,04
110974,1889-05-01,12.847,0.758,China,1889,05
110975,1889-06-01,18.161,0.583,China,1889,06
110976,1889-07-01,19.905,0.81,China,1889,07
110977,1889-08-01,18.73,0.594,China,1889,08
110978,1889-09-01,13.237,0.61,China,1889,09
110979,1889-10-01,6.9,0.725,China,1889,10
110980,1889-11-01,-0.772,0.768,China,1889,11
110981,1889-12-01,-6.774,1.268,China,1889,12
110982,1890-01-01,-8.421999999999999,0.8370000000000001,China,1890,01
110983,1890-02-01,-4.538,1.0759999999999998,China,1890,02
110984,1890-03-01,-0.7030000000000001,0.882,China,1890,03
110985,1890-04-01,7.512,0.8220000000000001,China,1890,04
110986,1890-05-01,13.853,0.942,China,1890,05
110987,1890-06-01,17.194000000000003,0.636,China,1890,06
110988,1890-07-01,19.638,0.6779999999999999,China,1890,07
110989,1890-08-01,18.225,0.696,China,1890,08
110990,1890-09-01,13.164,0.696,China,1890,09
110991,1890-10-01,7.183,0.644,China,1890,10
110992,1890-11-01,0.283,0.936,China,1890,11
110993,1890-12-01,-5.817,0.912,China,1890,12
110994,1891-01-01,-8.309,0.711,China,1891,01
110995,1891-02-01,-6.0390000000000015,0.785,China,1891,02
110996,1891-03-01,0.27,0.764,China,1891,03
110997,1891-04-01,6.766,0.545,China,1891,04
110998,1891-05-01,13.438,0.76,China,1891,05
110999,1891-06-01,16.761,0.6459999999999999,China,1891,06
111000,1891-07-01,19.545,0.501,China,1891,07
111001,1891-08-01,18.861,0.596,China,1891,08
111002,1891-09-01,14.453,0.73,China,1891,09
111003,1891-10-01,7.665,0.6920000000000001,China,1891,10
111004,1891-11-01,-0.851,0.609,China,1891,11
111005,1891-12-01,-6.247999999999998,0.972,China,1891,12
111006,1892-01-01,-8.484,1.097,China,1892,01
111007,1892-02-01,-5.9620000000000015,0.784,China,1892,02
111008,1892-03-01,-1.473,1.033,China,1892,03
111009,1892-04-01,7.936,0.823,China,1892,04
111010,1892-05-01,13.065,0.772,China,1892,05
111011,1892-06-01,18.099,0.7959999999999999,China,1892,06
111012,1892-07-01,19.532,0.631,China,1892,07
111013,1892-08-01,18.255,0.785,China,1892,08
111014,1892-09-01,13.861,0.613,China,1892,09
111015,1892-10-01,7.019,0.612,China,1892,10
111016,1892-11-01,-1.824,0.769,China,1892,11
111017,1892-12-01,-7.294,1.104,China,1892,12
111018,1893-01-01,-10.827,1.21,China,1893,01
111019,1893-02-01,-8.009,0.607,China,1893,02
111020,1893-03-01,1.023,0.866,China,1893,03
111021,1893-04-01,8.472000000000001,0.69,China,1893,04
111022,1893-05-01,12.929,0.6459999999999999,China,1893,05
111023,1893-06-01,17.791,0.608,China,1893,06
111024,1893-07-01,19.555,0.628,China,1893,07
111025,1893-08-01,18.694000000000003,0.5539999999999999,China,1893,08
111026,1893-09-01,14.106,0.725,China,1893,09
111027,1893-10-01,7.073,0.644,China,1893,10
111028,1893-11-01,-0.64,0.7170000000000001,China,1893,11
111029,1893-12-01,-6.867000000000001,1.103,China,1893,12
111030,1894-01-01,-8.959,1.308,China,1894,01
111031,1894-02-01,-4.674,0.932,China,1894,02
111032,1894-03-01,1.0810000000000002,0.905,China,1894,03
111033,1894-04-01,8.202,0.792,China,1894,04
111034,1894-05-01,13.228,0.506,China,1894,05
111035,1894-06-01,17.973,0.561,China,1894,06
111036,1894-07-01,20.06,0.539,China,1894,07
111037,1894-08-01,18.361,0.672,China,1894,08
111038,1894-09-01,14.298,0.654,China,1894,09
111039,1894-10-01,7.407999999999999,0.562,China,1894,10
111040,1894-11-01,-0.212,0.885,China,1894,11
111041,1894-12-01,-7.827000000000001,0.981,China,1894,12
111042,1895-01-01,-10.142,0.684,China,1895,01
111043,1895-02-01,-6.547999999999999,0.975,China,1895,02
111044,1895-03-01,-0.0949999999999999,0.667,China,1895,03
111045,1895-04-01,8.812999999999999,0.5770000000000001,China,1895,04
111046,1895-05-01,13.067,0.5720000000000001,China,1895,05
111047,1895-06-01,17.464000000000002,0.603,China,1895,06
111048,1895-07-01,19.119,0.58,China,1895,07
111049,1895-08-01,18.165,0.655,China,1895,08
111050,1895-09-01,13.992,0.67,China,1895,09
111051,1895-10-01,6.606999999999998,0.615,China,1895,10
111052,1895-11-01,-0.721,0.607,China,1895,11
111053,1895-12-01,-7.290999999999999,0.862,China,1895,12
111054,1896-01-01,-7.814999999999999,0.835,China,1896,01
111055,1896-02-01,-6.232,0.752,China,1896,02
111056,1896-03-01,-0.343,0.65,China,1896,03
111057,1896-04-01,7.53,0.6970000000000001,China,1896,04
111058,1896-05-01,13.074000000000002,0.586,China,1896,05
111059,1896-06-01,18.297,0.6409999999999999,China,1896,06
111060,1896-07-01,20.023,0.54,China,1896,07
111061,1896-08-01,18.685,0.5770000000000001,China,1896,08
111062,1896-09-01,13.86,0.519,China,1896,09
111063,1896-10-01,6.778,0.723,China,1896,10
111064,1896-11-01,0.016,0.5670000000000001,China,1896,11
111065,1896-12-01,-7.237999999999999,0.65,China,1896,12
111066,1897-01-01,-8.795,0.752,China,1897,01
111067,1897-02-01,-6.937,0.975,China,1897,02
111068,1897-03-01,-0.4930000000000001,0.8190000000000001,China,1897,03
111069,1897-04-01,7.646000000000001,0.647,China,1897,04
111070,1897-05-01,12.542,0.742,China,1897,05
111071,1897-06-01,17.738,0.625,China,1897,06
111072,1897-07-01,19.861,0.741,China,1897,07
111073,1897-08-01,18.946,0.513,China,1897,08
111074,1897-09-01,14.27,0.608,China,1897,09
111075,1897-10-01,8.172,0.645,China,1897,10
111076,1897-11-01,-0.322,0.705,China,1897,11
111077,1897-12-01,-7.891,0.737,China,1897,12
111078,1898-01-01,-7.523,0.954,China,1898,01
111079,1898-02-01,-5.371,0.8109999999999999,China,1898,02
111080,1898-03-01,-1.1469999999999996,1.3769999999999998,China,1898,03
111081,1898-04-01,7.874,1.011,China,1898,04
111082,1898-05-01,13.523,0.7,China,1898,05
111083,1898-06-01,18.073,0.7440000000000001,China,1898,06
111084,1898-07-01,19.838,0.8170000000000001,China,1898,07
111085,1898-08-01,18.817,0.626,China,1898,08
111086,1898-09-01,13.783,0.565,China,1898,09
111087,1898-10-01,7.797999999999999,0.505,China,1898,10
111088,1898-11-01,-0.236,0.541,China,1898,11
111089,1898-12-01,-6.6770000000000005,0.85,China,1898,12
111090,1899-01-01,-8.677999999999999,0.7020000000000001,China,1899,01
111091,1899-02-01,-4.816000000000002,1.194,China,1899,02
111092,1899-03-01,1.5,0.726,China,1899,03
111093,1899-04-01,7.5550000000000015,0.6409999999999999,China,1899,04
111094,1899-05-01,13.875,0.604,China,1899,05
111095,1899-06-01,17.705,0.544,China,1899,06
111096,1899-07-01,19.912,0.6859999999999999,China,1899,07
111097,1899-08-01,18.583,0.61,China,1899,08
111098,1899-09-01,14.212,0.6970000000000001,China,1899,09
111099,1899-10-01,7.02,0.6859999999999999,China,1899,10
111100,1899-11-01,-0.675,0.725,China,1899,11
111101,1899-12-01,-6.952000000000001,0.677,China,1899,12
111102,1900-01-01,-10.736,0.94,China,1900,01
111103,1900-02-01,-6.315,0.682,China,1900,02
111104,1900-03-01,0.7540000000000001,0.623,China,1900,03
111105,1900-04-01,7.569000000000001,0.954,China,1900,04
111106,1900-05-01,13.47,0.602,China,1900,05
111107,1900-06-01,17.329,1.117,China,1900,06
111108,1900-07-01,20.148,0.591,China,1900,07
111109,1900-08-01,19.413,0.645,China,1900,08
111110,1900-09-01,14.807,0.623,China,1900,09
111111,1900-10-01,7.612999999999999,0.644,China,1900,10
111112,1900-11-01,0.102,0.812,China,1900,11
111113,1900-12-01,-6.824,0.979,China,1900,12
111114,1901-01-01,-8.24,0.8759999999999999,China,1901,01
111115,1901-02-01,-7.192,0.951,China,1901,02
111116,1901-03-01,1.5950000000000002,0.857,China,1901,03
111117,1901-04-01,8.439,0.963,China,1901,04
111118,1901-05-01,13.284,0.604,China,1901,05
111119,1901-06-01,17.654,0.6679999999999999,China,1901,06
111120,1901-07-01,19.559,0.532,China,1901,07
111121,1901-08-01,18.968,0.665,China,1901,08
111122,1901-09-01,14.865,0.725,China,1901,09
111123,1901-10-01,7.026,0.611,China,1901,10
111124,1901-11-01,0.1119999999999999,0.8220000000000001,China,1901,11
111125,1901-12-01,-7.619999999999999,0.85,China,1901,12
111126,1902-01-01,-7.2719999999999985,0.716,China,1902,01
111127,1902-02-01,-4.9910000000000005,0.5379999999999999,China,1902,02
111128,1902-03-01,2.281,0.71,China,1902,03
111129,1902-04-01,7.247999999999999,0.847,China,1902,04
111130,1902-05-01,12.630999999999998,0.792,China,1902,05
111131,1902-06-01,17.503,0.841,China,1902,06
111132,1902-07-01,19.511,0.5870000000000001,China,1902,07
111133,1902-08-01,18.0,0.536,China,1902,08
111134,1902-09-01,14.386,0.652,China,1902,09
111135,1902-10-01,7.806,0.856,China,1902,10
111136,1902-11-01,0.255,0.54,China,1902,11
111137,1902-12-01,-6.422000000000001,0.779,China,1902,12
111138,1903-01-01,-8.668999999999999,0.823,China,1903,01
111139,1903-02-01,-5.785,1.028,China,1903,02
111140,1903-03-01,0.5290000000000001,0.748,China,1903,03
111141,1903-04-01,7.499,0.5529999999999999,China,1903,04
111142,1903-05-01,13.11,0.574,China,1903,05
111143,1903-06-01,16.948999999999998,0.721,China,1903,06
111144,1903-07-01,19.662,0.6759999999999999,China,1903,07
111145,1903-08-01,18.362,0.589,China,1903,08
111146,1903-09-01,14.092,0.529,China,1903,09
111147,1903-10-01,6.783,0.603,China,1903,10
111148,1903-11-01,-1.4169999999999998,0.5660000000000001,China,1903,11
111149,1903-12-01,-7.02,0.557,China,1903,12
111150,1904-01-01,-8.828999999999997,0.7809999999999999,China,1904,01
111151,1904-02-01,-4.15,0.6829999999999999,China,1904,02
111152,1904-03-01,0.3790000000000001,0.828,China,1904,03
111153,1904-04-01,6.837000000000001,0.657,China,1904,04
111154,1904-05-01,12.96,0.583,China,1904,05
111155,1904-06-01,18.31,0.557,China,1904,06
111156,1904-07-01,19.355,0.5429999999999999,China,1904,07
111157,1904-08-01,18.68,0.536,China,1904,08
111158,1904-09-01,13.843,0.536,China,1904,09
111159,1904-10-01,6.648,0.5329999999999999,China,1904,10
111160,1904-11-01,-0.908,0.8009999999999999,China,1904,11
111161,1904-12-01,-6.914999999999999,0.78,China,1904,12
111162,1905-01-01,-7.172000000000001,0.705,China,1905,01
111163,1905-02-01,-8.323,0.507,China,1905,02
111164,1905-03-01,-1.501,0.483,China,1905,03
111165,1905-04-01,5.1110000000000015,0.49,China,1905,04
111166,1905-05-01,12.627,0.54,China,1905,05
111167,1905-06-01,17.504,0.55,China,1905,06
111168,1905-07-01,19.775,0.504,China,1905,07
111169,1905-08-01,18.276,0.607,China,1905,08
111170,1905-09-01,13.608,0.5760000000000001,China,1905,09
111171,1905-10-01,6.819999999999999,0.514,China,1905,10
111172,1905-11-01,-0.915,0.584,China,1905,11
111173,1905-12-01,-6.744,0.523,China,1905,12
111174,1906-01-01,-9.235,0.794,China,1906,01
111175,1906-02-01,-6.924,0.865,China,1906,02
111176,1906-03-01,0.4029999999999999,0.8079999999999999,China,1906,03
111177,1906-04-01,8.062000000000001,0.782,China,1906,04
111178,1906-05-01,13.199000000000002,0.647,China,1906,05
111179,1906-06-01,17.96,0.726,China,1906,06
111180,1906-07-01,19.817,0.5770000000000001,China,1906,07
111181,1906-08-01,18.161,0.546,China,1906,08
111182,1906-09-01,14.166,0.507,China,1906,09
111183,1906-10-01,7.127000000000001,0.541,China,1906,10
111184,1906-11-01,-1.935,0.51,China,1906,11
111185,1906-12-01,-6.138999999999999,0.7490000000000001,China,1906,12
111186,1907-01-01,-6.765999999999999,0.449,China,1907,01
111187,1907-02-01,-7.227,0.64,China,1907,02
111188,1907-03-01,-0.4290000000000001,0.5770000000000001,China,1907,03
111189,1907-04-01,7.584,0.491,China,1907,04
111190,1907-05-01,13.491,0.4970000000000001,China,1907,05
111191,1907-06-01,17.424,0.479,China,1907,06
111192,1907-07-01,18.87,0.613,China,1907,07
111193,1907-08-01,18.913,0.439,China,1907,08
111194,1907-09-01,14.074000000000002,0.6609999999999999,China,1907,09
111195,1907-10-01,7.7269999999999985,0.529,China,1907,10
111196,1907-11-01,-1.274,0.529,China,1907,11
111197,1907-12-01,-6.683,0.5,China,1907,12
111198,1908-01-01,-8.463999999999999,0.489,China,1908,01
111199,1908-02-01,-6.857,0.526,China,1908,02
111200,1908-03-01,-0.329,0.478,China,1908,03
111201,1908-04-01,7.519,0.462,China,1908,04
111202,1908-05-01,13.499,0.478,China,1908,05
111203,1908-06-01,17.765,0.469,China,1908,06
111204,1908-07-01,19.65,0.568,China,1908,07
111205,1908-08-01,19.093,0.4370000000000001,China,1908,08
111206,1908-09-01,13.902,0.5529999999999999,China,1908,09
111207,1908-10-01,7.170999999999999,0.542,China,1908,10
111208,1908-11-01,-1.442,0.496,China,1908,11
111209,1908-12-01,-6.068,0.4920000000000001,China,1908,12
111210,1909-01-01,-9.468,0.657,China,1909,01
111211,1909-02-01,-5.428000000000001,0.733,China,1909,02
